id,n,developer,publisher,release_year,price,rating,review_count,owners,genre_list,tag_list,cat_list
255340,Escape Goat 2,MagicalTimeBean,Double Fine Presents,2014,6.99,97.1,309,75000,"['Action', 'Casual', 'Indie']","['Indie', 'Platformer', 'Puzzle']",['Single-player']
255370,KickBeat Steam Edition,Zen Studios,Zen Studios,2014,6.99,65.4,725,150000,"['Action', 'Indie']","['Music', 'Action', 'Indie']",['Single-player']
255390,Max: The Curse of Brotherhood,Press Play,Microsoft Studios,2014,10.99,94.8,1021,75000,['Adventure'],"['Adventure', 'Platformer', 'Puzzle']",['Single-player']
255420,Magic 2015 - Duels of the Planeswalkers,Stainless Games,Wizards of the Coast,2014,6.99,44.3,3993,350000,['Strategy'],"['Card Game', 'Strategy', 'Trading Card Game']","['Single-player', 'Multi-player']"
255710,Cities: Skylines,Colossal Order Ltd.,Paradox Interactive,2015,22.99,91.8,73558,7500000,"['Simulation', 'Strategy']","['City Builder', 'Simulation', 'Building']",['Single-player']
255870,PixelJunk™ Shooter,Double Eleven;Q-Games Ltd.,Double Eleven,2013,6.99,90.3,484,150000,['Action'],"['Action', 'Local Co-Op', '2D']",['Single-player']
255940,The 11th Hour,Trilobyte Games,Nightdive Studios,2013,4.79,46.0,137,150000,['Adventure'],"['Adventure', 'Point & Click', 'Horror']",['Single-player']
256010,Jagged Alliance Flashback,Full Control,Full Control;THQ Nordic,2014,14.99,45.8,690,35000,"['Indie', 'RPG', 'Strategy']","['Strategy', 'Turn-Based', 'RPG']",['Single-player']
256030,Shadows: Heretic Kingdoms,Games Farm,Kalypso Media Digital,2014,29.99,62.7,362,35000,"['Indie', 'RPG']","['RPG', 'Hack and Slash', 'Story Rich']",['Single-player']
256070,Truck Racer,Kylotonn Entertainment,Plug In Digital;Bigben Interactive,2013,6.99,73.8,172,35000,['Racing'],"['Racing', 'Action']","['Single-player', 'Multi-player']"
256190,Enemy Front,CI Games,CI Games,2014,15.99,62.9,3520,350000,['Action'],"['Action', 'FPS', 'World War II']","['Single-player', 'Multi-player']"
256290,Child of Light,Ubisoft Montréal,Ubisoft,2014,12.49,93.0,10727,750000,['RPG'],"['RPG', 'Fantasy', 'Great Soundtrack']",['Single-player']
256330,WRC 4 FIA World Rally Championship,Milestone S.r.l.,Plug In Digital;Bigben Interactive,2013,24.99,63.9,872,75000,['Racing'],"['Racing', 'Simulation', 'Offroad']","['Single-player', 'Multi-player']"
256370,MXGP - The Official Motocross Videogame,Milestone S.r.l.,Plug In Digital;Milestone S.r.l.,2014,7.19,78.0,830,75000,"['Racing', 'Simulation', 'Sports']","['Racing', 'Sports', 'Simulation']","['Single-player', 'Multi-player']"
256390,MotoGP™14,Milestone S.r.l.,Plug In Digital;Milestone S.r.l.,2014,7.19,48.2,419,35000,"['Racing', 'Simulation', 'Sports']","['Racing', 'Simulation', 'Sports']","['Single-player', 'Multi-player']"
256460,Cosmic Star Heroine,Zeboyd Games,Zeboyd Games,2017,10.99,90.1,425,35000,"['Indie', 'RPG']","['RPG', 'Indie', 'Sci-fi']",['Single-player']
257030,Project Nimbus,GameCrafterTeam,KISS ltd;GameTomo,2017,15.49,87.5,1015,35000,"['Action', 'Indie']","['Mechs', 'Action', 'Indie']",['Single-player']
257050,Darkout,Allgraf,KISS ltd,2013,9.99,51.3,797,150000,"['Action', 'Adventure', 'Indie']","['Sandbox', 'Indie', 'Crafting']",['Single-player']
257120,Not The Robots,2DArray,tinyBuild,2013,6.99,79.9,536,150000,"['Action', 'Indie', 'Strategy']","['Stealth', 'Indie', 'Strategy']",['Single-player']
257170,Rebuild 3: Gangs of Deadsville,Northway Games;Sarah Northway,Northway Games,2015,10.99,85.1,1091,150000,"['Indie', 'Simulation', 'Strategy']","['Strategy', 'Zombies', 'Simulation']",['Single-player']
257220,Secret Files: Sam Peters,Animation Arts,Deep Silver,2013,7.99,66.4,116,35000,['Adventure'],"['Adventure', 'Point & Click', 'Female Protagonist']",['Single-player']
257350,Baldur's Gate II: Enhanced Edition,Beamdog,Beamdog,2013,14.99,86.0,3023,750000,"['RPG', 'Strategy']","['RPG', 'Classic', 'Fantasy']","['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer']"
257510,The Talos Principle,Croteam,Devolver Digital;Croteam,2014,29.99,95.6,18022,1500000,"['Action', 'Adventure', 'Indie']","['Puzzle', 'First-Person', 'Sci-fi']",['Single-player']
257630,Blast Em!,Xiotex Studios Ltd,Xiotex Studios Ltd,2014,0.79,46.9,286,75000,"['Action', 'Indie']","['Action', 'Indie', ""Shoot 'Em Up""]",['Single-player']
257670,Elder Sign: Omens,"Fantasy Flight Publishing, Inc.","Fantasy Flight Publishing, Inc.",2013,4.79,77.9,244,10000,"['Casual', 'Indie', 'Strategy']","['Board Game', 'Lovecraftian', 'Strategy']",['Single-player']
257690,J.U.L.I.A.: Among the Stars,CBE Software s.r.o.,CBE Software s.r.o.,2014,14.99,85.7,711,35000,"['Adventure', 'Indie']","['Adventure', 'Indie', 'Point & Click']",['Single-player']
257710,Max Gentlemen,The Men Who Wear Many Hats,The Men Who Wear Many Hats,2014,0.0,87.3,922,150000,"['Casual', 'Free to Play', 'Indie']","['Free to Play', 'Indie', 'Casual']","['Single-player', 'Cross-Platform Multiplayer']"
257730,Infinity Wars: Animated Trading Card Game,Lightmare Studios,Lightmare Studios;Yodo1 Games,2014,0.0,79.1,3309,750000,"['Free to Play', 'Indie', 'Massively Multiplayer', 'Strategy']","['Free to Play', 'Trading Card Game', 'Card Game']","['Single-player', 'Multi-player', 'Online Multi-Player', 'MMO', 'Cross-Platform Multiplayer']"
257750,Bloody Trapland,2Play,2Play,2013,6.99,83.4,2986,750000,"['Action', 'Adventure', 'Casual', 'Indie']","['Platformer', 'Co-op', 'Indie']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Co-op', 'Online Co-op', 'Local Co-op']"
